en_term;en_desc;vi_term;vi_desc
conversion;;chuyển đổi (tiền, chứng khoán);
tranfer;;chuyển khoản;
agent;;đại lý, đại diện;
customs barrier;;hàng rào thuế quan;
invoice;;hoá đơn;
mode of payment;;phuơng thức thanh toán;
financial year;;tài khoá;
joint venture;;công ty liên doanh;
instalment;;phần trả góp mỗi lần cho tổng số tiền;
mortage;;cầm cố , thế nợ;
share;;cổ phần;
shareholder;;người góp cổ phần;
earnest money;;tiền đặt cọc;
payment in arrear;;trả tiền chậm;
confiscation;;tịch thu;
preferential duties;;thuế ưu đãi;
National economy;;kinh tế quốc dân;
Economic cooperation;;hợp tác kinh tế;
International economic aid;;viện trợ kinh tế quốc tế;
Embargo;;cấm vận;
Macro-economic;;kinh tế vĩ mô;
Micro-economic;;kinh tế vi mô;
Planned economy;;kinh tế kế hoạch;
Market economy;;kinh tế thị trường;
Unregulated and competitive market;;thị trường cạnh tranh không bị điều tiết;
Regulation;;sự điều tiết;
The openness of the economy;;sự mở cử của nền kinh tế;
Rate of economic growth;;tốc độ tăng trưởng kinh tế;
Average annual growth;;tốc độ tăng trưởng bình wân hàng năm;
Capital accumulation;;sự tích luỹ tư bản;
Indicator of economic welfare;;chỉ tiêu phúc lợi kinh tế;
Distribution of income;;phân phối thu nhập;
Real national income;;thu nhập qdân thực tế;
Per capita income;;thu nhập bình quân đầu người;
Gross National Product (GNP);;Tổng sản phẩm qdân;
Gross Dosmetic Product (GDP);;tổng sản phẩm quốc nội;
Supply and demand;;cung và cầu;
Potential demand;;nhu cầu tiềm tàng;
Effective demand;;nhu cầu thực tế;
Purchasing power;;sức mua;
Active/ brisk demand;;lượng cầu nhiều;
Managerial skill;;kỹ năng quản lý;
Effective longer-run solution;;giải pháp lâu dài hữu hiệu;
Undertaking;;công việc kinh doanh;
Joint stock company;;công ty cổ phần;
National firms;;các công ty quốc gia;
Transnational corporations;;Các công ty siêu quốc gia;
Holding company;;công ty mẹ;
Affiliated/ Subsidiary company;;công ty con;
Co-operative;;hợp tác xã;
Sole agent;;đại lý độc quyền;
Fixed capital;;vốn cố định;
Floating/ Working/ Circulating/ liquid capital;;vốn luân chuyển;
Amortization/ Depreciation;;khấu hao;
revenue;;thu nhập;
interest;;tiền lãi;
withdraw;;rút tiền ra;
offset;;sự bù đáp thiệt hại;
treasurer;;thủ quỹ;
turnover;;doanh số, doanh thu;
inflation;;sự lạm phát;
Surplus;;thặng dư;
liability;;khoản nợ, trách nhiệm;
depreciation;;khấu hao;
Financial policies;;chính sách tài chính;


