en_term;en_desc;vi_term;vi_desc
Clock cards;;Thẻ bấm giờ;
Closing an account;;Khóa một tài khoản;
Closing stock;;Tồn kho cuối kỳ;
Commission errors;;Lỗi ghi nhầm tài khoản thanh toán;
Company accounts;;Kế toán công ty;
Company Act 1985;;Luật công ty năm 1985;
Compensating errors;;Lỗi tự triệt tiêu;
Concepts of accounting;;Các nguyên tắc kế toán;
Conservatism;;Nguyên tắc thận trọng;
Consistency;;Nguyên tắc nhất quán;
Construction in progress;;Chi phí xây dựng cơ bản dở dang;
Control accounts;;Tài khoản kiểm tra;
Conventions;;Quy ước;
Conversion costs;;Chi phí chế biến;
corporation;A form of business organization where ownership is represented by divisible units called shares of stock;công ty;Một hình thức tổ chức kinh doanh mà tại đó quyền sở hữu được chia nhỏ bằng số cổ phần của cố phiếu
Cost accumulation;;Sự tập hợp chi phí;
Cost application;;Sự phân bổ chi phí;
Cost concept;;Nguyên tắc giá phí lịch sử;
Cost object;;Đối tượng tính giá thành;
Cost of goods sold;;Giá vốn bán hàng;
Cost of goods sold;;Nguyên giá hàng bán;
Credit balance;;Số dư có;
Credit note;;Giấy báo có;
Credit note;Ex: A document sent to a customer in respect of (đặc biệt về) goods returned or over-payments made by the customer.;Giấp báo có;Là một tài liệu đã gửi đến khách hàng đặt biệt về các hàng hóa trả lại hoặc qua các khoản thanh toán của khách hàng
Credit transfer;;Lệnh chi;
Creditor;;Chủ nợ;
Cummulative preference share;;Cổ phần ưu đãi có tích lũy;
Cumulative preference shares;;Cổ phần ưu đãi có tích lũy;
Curent liabilities;;Nợ ngắn hạn;
Current accounts;;Tài khoản vãng lai;
Current assets;;Tài sản lưu động và đầu tư ngắn hạn;
Current assets;;Tài sản lưu động;
Current portion of Long-term liabilities;;Nợ dài hạn đến hạn trả;
Current ratio;;Hệ số lưu hoạt;
Debenture interest;;Lãi trái phiếu;
Debentures;;Trái phiếu, giấy nợ;
Debit note;;Giấy báo Nợ;
Debit note;Ex: It is normally a request for the suppliers to issue a credit note.;Giấy báo nợ;Nó thường là một yêu cầu cho các nhà cung cấp phát hành một bảng ghi chú tín dụng
Debtor;;Con nợ;
Deferred expenses;;Chi phí chờ kết chuyển;
Deferred revenue;;Người mua trả tiền trước;
Depletion;;Sự hao cạn;
Depreciation of fixed assets;;Hao mòn tài sản cố định hữu hình;
Depreciation of goodwill;;Khấu hao uy tín;
Depreciation of intangible fixed assets;;Hoa mòn tài sản cố định vô hình;
Depreciation of leased fixed assets;;Hao mòn tài sản cố định thuê tài chính;
Depreciation;;Khấu hao;
Direct costs;;Chi phí trực tiếp;
Directors' remuneration;;Thù kim thành viên Hội đồng quản trị;
Directors;;Hội đồng quản trị;
Discounts allowed;;Chiết khấu bán hàng;
Discounts received;;Chiết khấu mua hàng;
Discounts;;Chiết khấu;
Dishonored cheques;;Sec bị từ chối;
Disposal of fixed assets;;Thanh lý tài sản cố định;
Dividends;;Cổ tức;
dividends;Amounts paid from profits of a corporation to shareholders as a return on their investment in the stock of the entity;cổ tức;khoản chi trả từ lợi nhuận của một công ty cho các cổ đông như một lợi tức đầu tư của họ vào  các cổ phiếu của của công ty đó
Double entry rules;;Các nguyên tắc bút toán kép;
Drawing;;Rút vốn;
Dual aspect concept;;Nguyên tắc ảnh hưởng kép;
Equity and funds;;Vốn và quỹ;
Equivalent unit cost;;Giá thành đơn vị tương đương;
Equivalent units;;Đơn vị tương đương;
Errors;;Sai sót;
Exchange rate differences;;Chênh lệch tỷ giá;
Expense mandate;;Ủy nghiệm chi;
Expenses for financial activities;;Chi phí hoạt động tài chính;
Expenses prepaid;;Chi phí trả trước;
expenses;The costs incurred in producing revenues;Chi phí;Các chi phí phát sinh để tạo ra  doanh thu
Extraordinary expenses;;Chi phí bất thường;
Extraordinary income;;Thu nhập bất thường;
Extraordinary profit;;Lợi nhuận bất thường;
Factory overhead expenses;;Chi phí quản lý phân xưởng;
FIFO (First In First Out);;Phương pháp nhập trước xuất trước;
Figures in millions VND;;Đơn vị tính triệu đồng;
Final accounts;;Báo cáo quyết toán;
financial accounting;An area of accounting that deals with external reporting to parties outside the firm, usually based on standardized rules an procedures;kế toán tài chính;Lĩnh vực kế toán xử lý các giao dịch với đối tác bên ngoài công ty, dựa trên các quy tắc, được chuẩn hóa như một thủ tục hay qui định
Financial ratios;;Chỉ số tài chính;
financial statements;Core financial reports that are prepared to represent the financial position and results of operations of a company;báo cáo tài chính;Báo cáo tài chính  được chuẩn bị để mô tả  tình hình tài chính và kết quả hoạt động của một công ty
Financials;;Tài chính;
Finished goods;;Thành phẩm tồn kho;
Finished goods;;Thành phẩm;
First call;;Lần gọi thứ nhất;
Fixed asset costs;;Nguyên giá tài sản cố định hữu hình;
Fixed assets;;Tài sản cố định;
Fixed capital;;Vốn cố định;
Fixed expenses;;Định phí / Chi phí cố định;
General and administrative expenses;;Chi phí quản lý doanh nghiệp;
General ledger;;Sổ cái;
General reserve;;Quỹ dự trữ chung;
Going concerns concept;;Nguyên tắc hoạt động lâu dài;
Goods dispatched note (=Delivery note);Ex: A document that lists the goods that the company has delivered to a customer.;Phiếu giao hàng;Là một tài liệu liệt kê các hàng hóa của cty đã giao cho khách hàng
Goods in transit for sale;;Hàng gửi đi bán;
Goods received note;Ex: A document that lists the goods which a business has received from a supplier.;Phiếu nhập kho;Là một tài liệu liệt kê các hàng hóa mà cty đã nhận được từ nhà cung cấp
Goods stolen;;Hàng bị đánh cắp;
Goodwill;;Uy tín;
Gross loss;;Lỗ gộp;
Gross profit percentage;;Tỷ suất lãi gộp;
Gross profit;;Lãi gộp;
Gross profit;;Lợi nhuận tổng;
Gross revenue;;Doanh thu tổng;
historical cost principle;The concept that many transactions and events are to be measured and reported at acquisition cost;nguyên tắc giá gốc;Khái niệm cho rằng các giao dịch và sự kiện được đo lường và báo cáo theo giá mua
Historical cost;;Giá phí lịch sử;
Horizontal accounts;;Báo cáo quyết toán dạng chữ T;
Impersonal accounts;;Tài khoản phí thanh toán;
Imprest systems;;Chế độ tạm ứng;
Income from financial activities;;Thu nhập hoạt động tài chính;
income statement;A financial statement that summarizes the revenues, expenses, and results of operations for a specified period of time;báo cáo thu nhập;Một báo cáo tài chính tóm tắt các khoản doanh thu, chi phí và kết quả hoạt động trong một khoảng thời gian nhất định
Income tax;;Thuế thu nhập;
Income taxes;;Thuế thu nhập doanh nghiệp;
Increase in provision;;Tăng dự phòng;
Indirect costs;;Chi phí gián tiếp;
Installation cost;;Chi phí lắp đặt, chạy thử;
Instruments and tools;;Công cụ, dụng cụ trong kho;
Intangible assets;;Tài sản vô hình;
Intangible fixed asset costs;;Nguyên giá tài sản cố định vô hình;
Intangible fixed assets;;Tài sản cố định vô hình;
internal auditor;A person within an organization who reviews and monitors the controls, procedures, and information of the organization;kiểm toán nội bộ;Nhân viên trong một tổ chức  chịu trách nhiệm soátxét và giám sát các thủ tục kiểm soát, cũng như các thông tin của tổ chức đó
International Accounting Standards Board;An organization charged with producing accounting standards with global acceptance;Ủy Ban Chuẩn mực Kế toán quốc tế;Một tổ chức chịu trách nhiệm phát hành và chỉnh sửa chuẩn mực kế toán  được  sự chấp nhận toàn cầu
Interpretation of accounts;;Phân tích các báo cáo quyết toán;
Intracompany payables;;Phải trả các đơn vị nội bộ;
Inventory;;Hàng tồn kho;
Invested capital;;Vốn đầu tư;
Investment and development fund;;Quỹ đầu tư phát triển;
Investments;;Đầu tư;
Invoice;;Hóa đơn;
Invoice;Ex: A demand for payment. It can be used for other purposes.;Hóa đơn;là một yêu cầu thanh toán. Nó có thể được sử dụng cho các mục đích khác
Issue of shares;;Phát hành cổ phần;
Issued capital;;Vốn phát hành;
Issued share capital;;Vốn cổ phần phát hành;
Itemize;;Mở tiểu khoản;
Job-order cost system;;Hệ thống hạch toán chi phí sản xuất theo công việc/ loạt sản phẩm;
Journal entries;;Bút toán nhật ký;
Journal;;Nhật ký chung;
Leased fixed asset costs;;Nguyên giá tài sản cố định thuê tài chính;
Leased fixed assets;;Tài sản cố định thuê tài chính;
Liabilities;;Công nợ (Nợ phải trả);
liabilities;Amounts owed by an entity to others;Công nợ;Các khoản nợ của một  công ty với những đối tượng  khác
LIFO (Last In First Out);;Phương pháp nhập sau xuất trước;
Limited company;;Công ty trách nhiệm hữu hạn;
Liquidity ratio;;Hệ số khả năng thanh toán;
Liquidity;;Khả năng thanh toán bằng tiền mặt (tính lỏng/ tính thanh khoản);
Long-term borrowings;;Vay dài hạn;
Long-term financial assets;;Các khoản đầu tư tài chính dài hạn;
Long-term liabilities;;Nợ dài hạn;
Long-term mortgages, collateral, deposits;;Các khoản thế chấp, ký cược, ký quỹ dài hạn;
Long-term security investments;;Đầu tư chứng khoán dài hạn;
Loss;;Lỗ;
Machine hour method;;Phương pháp giờ máy;
managerial accounting;An area of accounting concerned with reporting results to managers and others who are internal to an organization;kế toán quản trị;Lĩnh vực kế toán liên quan đến báo cáo các kết quả cho  các nhà quản lý và những nhà quản lý nội bộ trong một tốt chức hay một doanh nghiệp
Manufacturing account;;Tài khoản sản xuất;
Margin;;Tỷ suất lãi trên giá bán;
Mark-up;;Tỷ suất lãi trên giá vốn;
Matching expenses against revenue;;Khế hợp chi phí với thu nhập;
Materiality;;Tính trọng yếu;
Materials;;Nguyên vật liệu;
Merchandise inventory;;Hàng hoá tồn kho;
Money mesurement concept;;Nguyên tắc thước đo bằng tiền;
Nature of depreciation;;Bản chất của khấu hao;
Net assets;;Tài sản thuần;
Net book value;;Giá trị thuần;
net income;The excess of revenues over expenses for a designated period of time;thu nhập ròng;Phần chênh lệch doanh thu hơn chi phí trong một thời kỳ.
Net loss;;Lỗ ròng;
net loss;The excess of expenses over revenues for a designated period of time;lỗ ròng;Phần chênh lệch chi phí lớn hơn  doanh thu cho một thời kỳ nào đó
Net profit;;Lãi ròng;
Net profit;;Lợi nhuận thuần;
Net realizable value;;Giá trị thuần thực hiện được;
Net revenue;;Doanh thu thuần;
Nominal accounts;;Tài khoản định danh;
Nominal ledger;;Sổ tổng hợp;
Non-business expenditure source, current year;;Nguồn kinh phí sự nghiệp năm nay;
Non-business expenditure source, last year;;Nguồn kinh phí sự nghiệp năm trước;
Non-business expenditure source;;Nguồn kinh phí sự nghiệp;
Non-business expenditures;;Chi sự nghiệp;
Non-cummulative preference share;;Cổ phần ưu đãi không tích lũy;
Non-current assets;;Tài sản cố định và đầu tư dài hạn;
Notes to accounts;;Ghi chú của báo cáo quyết toán;
Objectivity;;Tính khách quan;
Official policy rate;Ex: An interest rate that a central bank sets and announces publicly, normally the rate at which it is willing to lend money to the commercial banks.;Lãi suất chính thức;Là lãi suất do ngân hàng trung ương ban hành và thông báo công khai, thông thường là mức lãi suất ngân hàng trung ưng sẵn sàng cho vay tiền đến ngân hàng thương mại.
Omissions, errors;;Lỗi ghi thiếu;
Opening entries;;Các bút toán khởi đầu doanh nghiệp;
Opening stock;;Tồn kho đầu kỳ;
Operating gains;;lợi nhuận trong hoạt động;
Operating profit;;Lợi nhuận từ hoạt động SXKD;
Ordinary shares;;Cổ phần thường;
Original entry, errors;;Lỗi phát sinh từ nhật ký;
Other current assets;;Tài sản lưu động khác;
Other funds;;Nguồn kinh phí, quỹ khác;
Other Long-term liabilities;;Nợ dài hạn khác;
Other payables;;Nợ khác;
Other receivables;;Các khoản phải thu khác;
Other Short-term investments;;Đầu tư ngắn hạn khác;
Output in equivalent units;;Lượng sản phẩm tính theo đơn vị tương đương;
Overdraft;;Nợ thấu chi;
Overhead application base;;Tiêu thức phân bổ chi phí quản lý phân xưởng;
Overhead application rate;;Hệ số phân bổ chi phí quản lý phân xưởng;
Oversubscription of shares;;Đăng ký cổ phần vượt mức;
owner investments;Resources provided to an organization by a person in exchange for a position of ownership in the organization;Các khoản đầu tư của chủ sở hữu;Nguồn lực  đóng góp  cho một tổ chức của một người đổi lại là một vị trí  sở hữu trong tổ chức đó
Owners' equity;;Nguồn vốn chủ sở hữu;
Paid-up capital;;Vốn đã góp;
Par, issued at;;Phát hành theo mệnh giá;
Payables to employees;;Phải trả công nhân viên;
Periodic stock;;Phương pháp theo dõi tồn kho định kỳ;
Perpetual stock;;Phương pháp theo dõi tồn kho liên tục;
Personal accounts;;Tài khoản thanh toán;
Petty cash books;;Sổ quỹ tạp phí;
Petty cashier;;Thủ quỹ tạp phí;
Physical deteration;;Sự hao mòn vật chất;
Physical units;;Đơn vị (sản phẩm thực tế);
Posting;;Vào sổ tài khoản;
Predetermined application rate;;Hệ số phân bổ chi phí định trước;
Preference shares;;Cổ phần ưu đãi;
Preliminary expenses;;Chi phí khởi lập;
Prepaid expenses;;Chi phí trả trước;
Prime cost;;Giá thành cơ bản;
Principle, error of;;Lỗi định khoản;
Private company;;Công ty tư nhân;
Process cost system;;Hệ thống hạch toán CPSX theo giai đoạn công nghệ;
Product cost;;Giá thành sản phẩm;
Production cost;;Chi phí sản xuất;
Profit and loss account;;Tài khoản kết quả;
Profit before taxes;;Lợi nhuận trước thuế;
Profit from financial activities;;Lợi nhuận từ hoạt động tài chính;
Profitability;;Khả năng sinh lời;
Profits;;lợi nhuận, lãi;
Provision for depreciation;;Dự phòng khấu hao;
Provision for devaluation of stocks;;Dự phòng giảm giá hàng tồn kho;
Provision for discounts;;Dự phòng chiết khấu;
Purchase order;Ex: A document that shows details goods or services which the company would like to purchase from another company. Purchase orders are normally sequentially numbered (đánh số liên tục).;Đơn đặt hàng nhà cung cấp;Là một tài liệu cho biết về chi tiết hàng hoá hoặc dịch vụ mà công ty muốn mua từ công ty khác. Các đơn đặt hàng thường được đánh số liên tục
Purchased goods in transit;;Hàng mua đang đi trên đường;
Quotation;Ex: A document from supplier stating (công bố) the fixed price that would be charged to produce or deliver goods or services.;Bảng báo giá;Là một tài liệu từ nhà sản xuất công bố giá cố địng sẽ được tình vào giá sản phẩm, hàng hoá hoặc dịch vụ
Raw materials;;Nguyên liệu, vật liệu tồn kho;
Receipt;Ex: A document confirming that a payment has been received.;Phiếu thu or Giấy biên nhận;Là một tài liệu xác nhận rằng một khoản thanh toán đã được nhận
Receivables from customers;;Phải thu của khách hàng;
Receivables;;Các khoản phải thu;
Reconciliation;;Đối chiếu;
Reducing balance method;;Phương pháp giảm dần;
Remittance Advice;Ex: A document sent to a supplier together with a payment advising the being paid invoices and which credit notes offset.;Phiếu báo thanh toán;Là một tài liệu được gửi đến một nhà cung cấp cùng với một khoản thanh toán tư vấn cho các hóa đơn đã thanh toán và có ghi chú tín dụng bù đắp.
Reserve fund;;Quỹ dự trữ;
Retained earnings;;Lợi nhuận chưa phân phối;
Revenue deductions;;Các khoản giảm trừ;
Sales expenses;;Chi phí bán hàng;
Sales order;Ex: A document that shows details of an order placed by a customer for goods or services. It's normally sequentially numbered.;Đơn đặt hàng người mua;Là một tài liệu cho biết chi tiết đơn đạt hàng của khách hàng đối với hàng hóa hoạc dịch vụ. nó thường được đánh số liên tục
Sales rebates;;Giảm giá bán hàng;
Sales returns;;Hàng bán bị trả lại;
Short-term borrowings;;Vay ngắn hạn;
Short-term investments;;Các khoản đầu tư tài chính ngắn hạn;
Short-term liabilities;;Nợ ngắn hạn;
Short-term mortgages, collateral, deposits;;Các khoản thế chấp, ký cược, ký quỹ ngắn hạn;
Short-term security investments;;Đầu tư chứng khoán ngắn hạn;
source documents;;Chứng từ gốc;
Statement;Ex: A document sent out to a customer detailing the transactions on the customer's account. (VD: Bank Statement- Sao kê Ngân hàng).;Bảng báo cáo;Là một tài liệu đã gửi đi cho một khách hàng liệt kê các giao dịch trên tài khoảng của khách hàng
Stockholders' equity;;Nguồn vốn kinh doanh;
Straight-line method;;Phương pháp đường thẳng;
Surplus of assets awaiting resolution;;Tài sản thừa chờ xử lý;
Tactical asset allocation;Ex: The decision to deliberately deviate from the strategic asset allocation in an attempt to add value based on forecasts of the near-term r...elative performance of asset classes.;Phân bổ tài sản chiến thuật;Quyết định có chủ ý, không tuân theo phân bổ tài sản chiến lược, với nỗ lực tăng thêm giá trị dựa trên những dự báo về kết quả hoạt động ấn tượng của các loại tài sản trong ngắn hạn.
Tangible fixed assets;;Tài sản cố định hữu hình;
Target balance;Ex: A minimum level of cash to be held available - estimated in advance and adjusted for known funds transfers, seasonality, or other factors.;Cân bằng mục tiêu;Là lượng tiền tối thiểu cần có sẵn, được ước tính trước và điều chỉnh trong trường hợp chuyển vốn, thời vụ hoặc các yếu tố khác.
Target capital structure;Ex: A company's chosen proportions of debt and equity.;Cấu trúc vốn mục tiêu;Là sự lựa chọn của công ty khi phân bổ tỷ lệ nợ và vốn chủ sở hữu.
Target independent;Ex: A bank's ability to determine the definition of inflation that they target, the rate of inflation that they target, and the horizon over which the target is to be achieved.;Độc lập mục tiêu;Là khả năng của ngân hàng trung ương trong việc xác định lạm phát và tỷ lệ lạm phát mục tiêu, và thời gian cần thiết để mục tiêu cần thiết đó được thực hiện.
Target semideviation;Ex: The average squared deviation below a target value.;Bán lệch mục tiêu;Là trung bình độ lệch bình phương nằm dưới giá trị mục tiêu.
Taxes and other payables to the State budget;;Thuế và các khoản phải nộp nhà nước;
Total assets;;Tổng cộng tài sản;
Total liabilities and owners' equity;;Tổng cộng nguồn vốn;
Trade creditors;;Phải trả cho người bán;
Treasury stock;;Cổ phiếu quỹ;
Uncalled capital;;Vốn chưa gọi;
Validity instructions;Ex: Instructions which indicate when the order may be filled.;Hướng dẫn hiệu lực;Là loại hướng dẫn thực hiện giao dịch ở thời điểm nào thì thích hợp.
Valuation allowance;Ex: A reserve created against deferred tax assets, based on the likelihood of realizing the deferred tax assets in future accounting periods.;Dự phòng định giá;Là khoản dự phòng cho tài sản thuế thu nhập hoãn lại dựa trên đánh giá khả năng tài sản thuế thu nhập hoãn lại sẽ được ghi nhận trong các kỳ kế toán tương lai.
Valuation ratios;Ex: Ratios that measure the quantity of an asset or flow (e.g., earnings) in relation to the price associated with a specified claim (e.g., a share or ownership of the enterprise).;Nhóm chỉ số định giá;Là nhóm chỉ số đo lường các giá trị của tài sản hoặc dòng tiền (như thu nhập) trong mối quan hệ đi kèm với giá của cổ phiếu hoặc giá trị doanh nghiệp.
Valuation;Ex: The process of determining the value of an asset or service.;Định giá;Là quá trình xác định giá trị của một loại tài sản hoặc dịch vụ..
Value at risk (VaR);Ex: A money measure of the minimum value of losses expected during a specified time period at a given level of probability.;Giá trị chịu rủi ro;Là cách đo lường bằng tiền giá trị nhỏ nhất thua lỗ kỳ vọng trong một khoảng thời gian ở xác suất cho trước.
Variation margin;Ex: Additional margin that must be deposited in an amount sufficient to bring the balance up to the initial margin requirement.;số dư biến đổi;Số dư biến đổi là số dư phải nộp thêm vào tài khoản để đưa số dư về mức số dư quy định ban đầu
Wealth effect;Ex: An increase/decrease in household wealth increases/decreases consumer spending out of a given level of current income.;Hiệu ứng thu nhập;Thu nhập hộ gia đình tăng/giảm kéo theo tiêu dùng cá nhân tăng/giảm ở mức thu nhập hiện tại cho trước
Weight average cost of capital;Ex: A weighted average of the after-tax required rates of return on a company's common stock, preferred stock, and long-term debt, where the weights are the fraction of each source of financing in the company's target capital structure.;Chi phí vốn bình quân gia quyền;Là chi phí bình quân gia quyền của suất sinh lợi sau thuế đối với cổ phiếu phổ thông, cổ phiếu ưu đãi, và nợ dài hạn, trong đó trọng số của từng loại vốn là tỷ lệ mục tiêu trong cấu trúc vốn của công ty.
Weighted average cost method;Ex: An inventory accounting method that averages the total cost of available inventory items over the total units available for sale.;Phương pháp khấu hao bình quân;Là phương phương khấu hao phân bổ chi phí bình quân của tất cả hàng tồn kho sẵn có cho tổng số đơn vị hàng tồn kho.
Welfare and reward fund;;Quỹ khen thưởng và phúc lợi;
Wholesale price index;Ex: Reflects the price changes experienced by domestic producers in a country.;Chỉ số giá bán sỉ;Là chỉ số phản ánh sự thay đổi của giá đối với các nhà sản xuất trong nước của 1 quốc gia.
Work in progress;;Chi phí sản xuất kinh doanh dở dang;
Working capital management;Ex: The management of a company's short-term assets (such... as inventory) and short-term liabilities (such as money owed to suppliers).;Quản lý vốn lưu động;Là việc quản trị tài sản ngắn hạn như hàng tồn kho và các khoản nợ ngắn hạn như phải trả người bán.
Working capital;;Vốn lưu động (hoạt động);
Working capital;Ex: The difference between current assets and current liabilities.;Vốn lưu động;bằng tài sản ngắn hạn trừ nợ ngắn hạn.
Yield spread;Ex: The difference between the yield on a bond and the yield on a default-free security, usually a government note, of the same maturity. The yield spread is primarily determined by the market's perception of the credit risk on the bond.;Chênh lệch lãi suất trái phiếu;Là sự khác biệt giữa lãi suất của một trái phiếu thông thường và lãi suất của trái phiếu chính phủ có cùng thời gian đáo hạn. Chênh lệch trái tức được xác định trước tiên bởi kỳ vọng của thị trường về rủi ro tín nhiệm của trái phiếu.
Yield to maturity;Ex: The annual return that an investor earns on a bond if the investor purchases the bond today and holds it until maturity.;Lãi suất trái phiếu đến đáo hạn;Là lãi suất hằng năm nhà đầu tư nhận được từ trái phiếu nếu nhà đầu tư mua trái phiếu ngày hôm nay và giữ nó cho đến lúc đáo hạn.
