en_term;en_desc;vi_term;vi_desc
Break-even analysis;;;là một kỹ thuật để phân tích đánh giá lựa chọn dự án, trong đó cân nhắc mối quan hệ giữa chi phí biến đổi của một dự án. tỉ lệ chi phí cố định càng lớn thì sản lượng (doanh thu) hoà vốn càng lớn và mức độ rủi ro cao.
Budget;;; Là ngân quỹ dự toán cho dự án được chấp thuận hoặc cho WBS hoặc một và lịch trình công việc. Tham khảo thêm Estimate.
Budget at Complettion (BAC);;;
Buffering;;;đây là kỹ thuật sắp xếp tiến độ trong đó định thêm một khoảng thời gian dự phòng cho từng công việc hoặc cho toàn bộ dự án.
Bussness case;;;là tài liệu đầu tiên được xây dựng để đề xuất ý tưởng về dự án với các thành phần cốt lõi: các cơ hội, các đe doạ làm phát sinh dự án,mục tiêu mà dự án hướng tới và sự phù hợp giữa mục tiêu này với các mục tiêu khác của tổ chức, mong muốn của các nhóm liện quan, các giả định, các ràng buộc…
Buyer;;;Là người thực hiện việc thâu mua các sản phẩm, dịch vụ, hoặc kết quả cho một tổ chức.
Cause and effect diagram;;;là  biểu đồ biểu diễn mối quan hệ giữa các nguyên nhân của vấn đề và tác động mà vấn đề này gây ra. biểu đồ bắt đầu từ nguyên nhân chung nhất và tiếp tục xem xét các nguyên nhân cụ thể hơn dân đến vấn đề đó. biểu đồ này còn được gọi là biểu đồ xương cá hay Ishikawa.
Change control system;;;là các thủ tục mô tả cách thức đệ trình một yêu cầu thay đổi và xử lý các yêu cầu thay đổi. Hệ thống này theo dõi trạng thái của các yêu cầu và xác định mức thẩm quyền phê duyệt tháy đổi đó. hệ thống cũng mô tả tác động của thay đổi với tình hình thực hiện dự án.
Check list;;;là công cụ thường dùng trong quản trị chất lượng để đảm bảo rằng các bước trong một tiến trình nào đó được tuân thủ nghiêm ngặt. Công cụ này cũng được sử dụng để xác định các rủi ro bằng cách thu thập các thông tin lịch sử từ các dự án trước đó.
Code of account;;;là một số hiệu duy nhất được phân cho từng phần từ trong WBS
Communication;;;là tiến trình trao đổi thông tin, trong đó có ba thành phần cơ bản là người gởi tin, người nhận tin và thông điệp. Truyền thông có thể diễn ra dưới hình thức nói hay viết, chính thức hay phi chính thức. nhà quản trị dự án có thể sử dụng đến 90% quỹ thời gian của mình cho công tác truyền thông.
Communication management plan;;;kế hoạch quản trị truyền thông – là trong đó chỉ rõ những loại thông tin nào mà các nhóm hữu quan cần, khi nào thông tin sẽ được phân phát cà cách thức phân phát,…
Communication planning;;;là tiến trình xác định rõ nhu cầu truyền thông của các nhóm hữu quan, các thông tin được tiếp nhận khi nào và như thế nào và ai sẽ nhận thông tin.
Configuration management;;;quản trị cấu hình – là tiến trình mô tả các đặc điểm của kết quả dự án và đảm bảo rằng các kết quả này là chính xác đầy đủ . quản trị cấu hình kiểm soát sự thay đổi đối với các đặc điểm của một đối tượng và theo dõi sự thay đổi đã được thực hiện hay được yêu cầu và trạng thái của các thay đổi đó. đây thường là một phần của tiến trình kiểm soát sự thay đổi.
Conflict;;mâu thuẫn;là sự không tương thích về mục tiêu hoặc lợi ích giữa các nhóm hữu quan của dự án. môi trường làm việc của dự án thường được đặc trưng bởi tính mâu thuẫn.
Constraint;;ràng buộc;là bất cứ một yếu tố nào giới hạn hành động của nhóm dự án hoặc bắt buôc, quy định hành động của nhóm dự án.
Constrainted optimization method;;;là mô hình lựa chọn dự án gồm các mô hình toán học phức tạp, sử dụng các thuật toán tuyến tính, linh hoạt, phi tuyến tính,…để giải quyết một vấn đề cụ thể nào đó.
Contingency reserves;;dự phòng cho dự án;đây là chiến lược đối phó rủi ro nhằm tạo ra một quỹ dự phòng về chi phí, thời gian hay nguồn lực để bù trừ cho các đe doạ không thể tránh khỏi và có thể xảy ra đối với tiến độ, chi phí, chất lượng hay phạm vi dự án
Contract;;hợp đồng;là tài liệu ràng buộc pháp lý giữa hai hay nhiều bên nhằm để có một sản phẩm hay dịch vụ nào đó. hợp đồng thường là tài liệu phổ biến nhất trong quá trình mua hàng của dự án.
Contract administration;;;tiến trình giám sát năng lực của nhà cung cấp và đảm bảo rằng các yêu cầu của hợp đồng được đáp ứng đầy đủ.
Contract close-out;;;tiến trình hoàn tất và thanh tán tât cả các khoản của hợp đồng và xác định xem công việc được mô tả trong hợp đồng đã được hoàn tất chính xác và đạt yêu cầu chưa. đây là tiến trình được thực hiện trước kho kết thuc dự án.
Control chart;;biểu đồ kiểm soát;là một công cụ trong tiến trình kiểm soát chất lượng để đo lường kết quả của các tiến trình theo thời gian và biểu diễn các kết quả này dưới dạng đồ thị. Biểu đồ kiểm soát cũng đo lường các sai lệch nhằm xác định xem mức độ sai lệch đó có nằm trong giới hạn kiểm soát hay không.
Corrective actions;;;là các hành động được thực hiện nhằm điều chỉnh kết quả dự kiến của dự án đề phù hợp  với kế hoạch đề ra.
Cost bugeting;;;lập ngân sách cho dự án – là tiến trình phân bổ các chi phí đã ước lượng cho các hoạt động để từ đó lập nên kế hoạch gốc về chi phí (cost baseline). kế hoạch gốc này sẽ được dùng để đo lường các sai lệch và tình hình thực hiện trong suốt vòng đời của dự án.
Cost control;;;kiểm soát chi phí – tiến trình quản lý các thay đổi đối với chi phí của dự án bằng hệ thống kiểm soát thay đổi chi phí.
Cost estimating;;;ước lượng chi phí – tiến trình đưa ra một con số ước lượng về chi phí của các nguồn lực cần thiết cho tất cả các công việc trong dự án.
Cost of quality;;;chi phí chất lượng – tổng chi phí để sản xuất ra một sản phẩm hay dịch vu sao cho phù hợp với tiêu chuẩn về chất lượng. chi phí này bao gồm tất cả các công việc cần thiết để đáp ứng được các yêu cầu của sản phẩm, cũng như chi phí của các công việc phải làm do không phú hợp (non conformance(, do yêu cầu chất lượng. chi phí chất lượng liên quan đến ba loại chi phí: chí phí ngăn ngừa, chi phí đánh giá và chi phí sai hỏng.
Cost perfomance index (CPI);;;chỉ số hiểu quả chi phí, là một chỉ số được tính toán trong phân tích giá trị thu được với công thức sau CPI=EV/EC
Cost plus fixed contract;;;hợp đồng chí phí cộ định cộng với một khoản phí – là loại hợp đồng mà khách hàng sẽ chi trả toàn bộ chi phí của dự án cộng với một mức phí cố định khi kết thúc hợp đồng.
cost reimburable contract;;;hợp đồng hoàn trả chi phí – là hợp đồng mà người mua sẽ chi trả cho người bán toàn bộ chi phí phát sinh, khi sản xuất hàng hoá hay dịch vụ
Cost variance (CV);;;là môột thông số sử dụng trong phân tích giá trị thu được để đo lường mức hiệu quả về chi phí với công thức CV=…
Crashing;;;là một kỹ thuật rút ngắn thời gian thực hiện công việc bằng cách bổ sung thêm nguồn lực cho các công việc trên đường găng
Critical path;;;là một đường trong sơ đồ mạng tập hợp các công việc có thời gian dự trữ bằng zero.
Critical path method;;;là phương pháp tính toán tiến độ bằng cách xác định thời gian  bắt đầu sớm, kết thúc sớm, bắt đầu muộn, kết thúc muộn cho mỗi công việc trong dự án.
Critical sucess factor;;;các yếu tố then chốt cho sự thành công của dự án – các yếu tố cần phải được thực hiện để dự án có thể được hoàn tất.
Decision models;;;mô hình ra quyết định – các mô hình được dùng để lựa chọn dự án, bằng cách xem xét các tiêu chuẩn khác nhau nhằm đưa ra quyết định lực chọn.
Decision tree analysis;;;là kỹ thuật được sử dụng trong phân tích rủi ro của dự án trong đó xét đến các tình huống với xác xuất xảy ra của từng tình huống và kết quả mà tình huống đó mang lại. mỗi tình huống lại được chia thành các tình huống nhỏ hơn với các xác xuất và mức tác động tương ứng.
Decomposition;;;là tiến trình chia nhỏ các kết quả của dự án thành các bộ phận nhỏ hơn, dễ quản lý hơn sao cho các công việc, các nhiệm vụ của dự án có thể ước lượng được, lập kế hoạch được.
Deliverable;;;là một kết quả hay một đầu ra mà một giai đoạn của dự án hay dự án cần phải tạo ra. các kết quả này phải hữu hình, có thể đo lường và được chứng minh.
Delphi method;;;là một kỹ thuật dùng để thu thập thông tin trong xác định rủi ro dự án, trong đó những người tham gia thường không biết nhau hoặc không cần phải có mặt cùng một nơi.
Dependencies;;;mối quan hệ phụ thuộc giữa các công việc trong một dự án
Discretionary dependency;;;là mối quan hệ phụ thuộc  tuỳ chọn, do người lập kế hoạch quyết định. mối quan hệ này còn gọi là mối quan hệ phụ thuộc mềm.
Duration compression;;;rút ngắn thời gian – là một công cụ trong tiến trình xây dựng tiến độ, trong đó các phân tích toán học được sử dụng để rút ngắn tiến độ dự án mà không ảnh hưởng đế phạm vi dự án. Hai phương pháp phổ biến là crashing và fast tracking.
Earned value;;;dđo lường tiến triển của dự án đến thời điểm xem xét hoặc giá trị của công việc đã được hoàn tất cho đến thời điểm xem xét.
Earned value analysis;;;phân tích giá trị thu được – là kỹ thuật phổ biến để đo lường hiệu quả dự án. Kỹ thuật này xem xét các đo lường về tiến độ, chi phí và phạm vi và so sánh tiến triển thực tế với các tiến triển kỳ vọng
P;;;
Planned Value (PV);; Kế Hoạch Giá Trị;Ngân sách được duyệt được dùng cho kế hoạch phân bổ cho công việc dựa vào lịch trình thực hiện của activity hoặc WBS. Cũng được gọi là chi phí ngân sách công việc theo lịch trình (BCWS).
Estimate at completion (EAC);;;ước lượng tại thời điểm hoàn thành – ước lượng chi phí kỳ vọng của dự án hay công việc vào thời điềm hoàn thành công việc
Estimate to compleate (ETC);;;ước lượng cần phải hoàn thành – thông số đ lường chi phí cần thêm để hoàn tất công việc.
Evalution criteria;;;tiêu chuẩn đánh giá – phương pháp chia điểm và xếp hạng các nhà cung cấp trong tiến trình quản trị mua sắm.
Expert jugdement;;;đánh giá của chuyên gia – là một công cụ của nhiều  tiến trình hoạch định. công cụ này dựa trên một cá nhân hay một nhóm có kiến thức và kinh nghiệm liên quan đến lĩnh vực cần xin ý kiến đánh giá.
External dependency;;;các mối quan hệ phụ thuộc giữa các công việc do các bên không nằm trong dự án tác động.
Extinction;;;một hình thức kết thúc dự án khi mà các công việc dự án đã được hoàn thành và được các bên hữu quan chấp nhận.
Failure cost;;chi phí trục trặc;là một khoản chi phí chất lượng phát sinh khi nảy sinh khi phát sinh vấn đề và dự án không tiến triển theo kế hoạch
Fast tracking;;sắp xếp các công việc song song;là một kỹ thuật rút ngắn thời gian thực hiện dự án bằng cách sắp xếp các công việc song song với nhau thay vì tuần tự như trước đó.
Feasibility study;;nghiên cứu khả thi;là nghiên cứu được thực hiện nhằm xác định xem dự án có thể triển khai được không, gồm có đánh giá về xác xuất thành công dự án và khả năng tồn tại của các sản phẩm dự án.
Fixed price contract;;hợp đồng giá cố định;hợp đồng mà người mua trả cho người bán một mức chi phí cố định cho sản phẩm hay dịch vụ cung ứng. đây cũng là loại hợp đồng mà người bán phải gánh chịu nhiều rủi ro nhất.
Float;;thời gian dự trữ;là khoản thời gian cho phép một công việc có thể được trì hoãn so với thời điểm bắt đầu sớm mà vẫn không làm chậm trễ thời hạn kết thúc dự án. thời gian dự trữ còn được gọi là thời gian tự do (slack time)
Flowchart;;;là loại biểu đồ mô tả trình tự các bước cần phải thực hiện nhằm đạt được một mục tiêu nào đó. một lưu đồ cũng có thể biểu diễn cách thức mà các thành phần trong một hệ thống tác động liên quan với nhau.
Force majeure;;;bất khả kháng – là các rủi ro nằm ngoài phạm vi của quản trị rủi ro dự án như bão lụt, động đất, núi lửa, chiến tranh, khủng bố, đình công,..
Formal acceptance and closure;;chấp nhận và kết thúc hợp đồng;đây là tiến trình gởi một văn bản chính thức cho người bán để thông báo rằng hợp đồng đã hoàn tất và chính thức chấp nhận (nghiệm thu) sản phẩm mà người bán cung cấp.
Foward pass;;;bước tính xuôi – một kỹ thuật trong tính toán tiến độ nhằm xác định ngàu bắt đầu sớm và kết thúc sớm của công việc cũng như của dự án.
Funtional manager;;;người đứng đầu các bộ phận chức năng trong tổ chức. đây là một thành phần quan trọng vì quyết định thành công của dự án (chi phối nguồn lực, công nghệ mà dự án sử dụng)
Funtional organization;;;hình thức tổ chức dự án, trong đó dự án dưới quyền quản lý của một bộ phận chức năng nào đó hoặc luân chuyển quản lý qua nhiều bộ phận chức năng khác nhau. đây là hình thức mà nhà quản trị chức năng có quyền lớn nhất đối với dự án.
Gantt charts;;;một công cụ để biểu điễn tiến độ của dự án. biểu đồ này cũng có thể biểu diễn đường găng, trình tự trước sau của công việc, thời điểm bắt đầu, kết thúc công việc và các nguồn lực được phân bổ cho công việc đó.
Goals;;;mục đích – mô tả những gì mà dự án cần làm, cần phải đạt được hay hoàn tất. mục đích phải được phát biểu bằng các ngôn tư cụ thể, rõ ràng, chính xác, có thể đo lường được và gắn với một khuôn khổ thời gian xác định
GERT;Graphical Evaluation and Review Technique;;một kỹ thuật phân tích toán học dùng để biểu diễn tiến độ và ước lượng thời gian thực hiện công việc. Kỹ thuật này cho phép các tính toán xác xuất, biểu diễn các nhánh có điều kiện và vòng lặp.
Hard dependency;;;mối quan hệ phục thuộc bắt buộc, không thể thay đổi giữa các công việc
hard logic;;;như hard dependency
history information;;;thông tin về các dự án đã thực hiện trước đó
information distribution;;phân phối thông tin;tiến trình cung cấp thông tin cho các nhóm hữu quan
Initiation;;khởi sự dự án;công nhận chính thức sự ra đời của dự án.
integrated change control system;;kiểm soát thay đổi tích hợp - ; là tiến trình ảnh hưởng đến các yếu tố có thể gây ra thay đổi, sau đó xác định xem thay đổi có cần thiết  hay đã xảy ra chưa và tiến hành quản lý các thay đổi. các tiến trình quản lý thay đổi khác được tích hợp với tiến trình này.
issues;;;các vấn đề, các việc cần giải quyết
inerative;;;manf tính lặp lại, ví dụ hoạch định không phải thực hiện một lần mà là nhiều lần, trong quá trình thực hiện có thể phải thay đổi nên hoạch định lại.
kaizen;;;là một lý thuyết về quản lý chất lượng xuất phát từ Nhật bản, hàm ý cải tiến chất lượng liên tục. Tất cảc các thành viên dự án nên liên tục tìm kiếm các cơ hội để cải tiến chất lượng
lags;;;Một lag là thời gian chờ được chèn vào giữa hai activities. Ví dụ cần 3 ngày sau khi đổ xi măng (cho đủ cứng) để tiếp tục xây hạng mục khác.
leader;;;người lãnh đạo
leads;;;Một lead được dùng để ngụ ý rằng một Activitie có thể bắt đầu trước khi hoạt động tiền nhiệm của nó hoàn tất. Ví dụ viết mã phần mềm có thể bắt đầu trước khi hoạt động thiết kế kết thúc 5 ngày
lessons learned;;;Bài học kinh nghiệm từ các dự án khác
logical relationships;;;mối quan hệ phụ thuộc giữa hai công việc, trong đó một công việc phải bắt đầu hay kết thúc  trước khi thực hiện (bắt đầu hay kết thúc) một việc khác.
make or buy analysis;;;phân tích làm hay mua ngoài – là một đầu vào của tiến trình hoạch định mua sắm, trong đó xem xét liệu có hiệu quả hơn về mặt chi phí nếu tổ chức tự sản xuất hay mua ngoài một loại hàng hoá hay dịch vụ nào đó. phân tích mua hay làm không chỉ  thực hiện trên mảng chi phí mà còn cả vấn đề năng lực, kỹ năng, mức sẵn sàng, các bí quyết, giấy phép,…
mandatory dependency;;;quan hệ phụ thuộc bắt buộc., ví dụ phải thiết kế rồi mới thi công.
mathematical analysis;;;là một công cụ trong tiến trình xây dựng tiến độ nhằm tính các thời điểm sớm và muộn cho các công việc trong dự án. các tính toán này chưa tính đến giới hạn về nguồn lực.
matrix organization;;;là một hình thức tổ chức dự án, một nhân viên chịu sự quản lý của Functional manager và Project manager, đây gọi là kiểu quản lý theo ma trận
metrics;;;một chuẩn đo lường có thể do Project manager chọn cho một dự án cụ thể
milestone;;;cột mốc thời gian gian trong dự án, có thể để xem lại một số kết quả và đánh giá tình hình trước khi tiếp tục.
mitigation;;;là một chiền lược giảm khả năng xảy ra và giảm mức độ ảnh hưởng của một rủi ro
need assessment;;;đánh giá nhu cầu, là tiến trình được thực hiện trong giai đoạn khởi sự dự án. Bước này thường được thực hiện nhằm xem xét các nhu cầu dẫn đến sự hình thành dự án
net present value (NPV);;giá trị hiện tại ròng;phương pháp này tính giá trị ròng của giá trị hiện tại của các dòng tiền tương lai bằng cách chiết khấu các dòng tiền tương lai này bằng một tỉ suất tương đương với chi phí vốn của doanh nghiệp. dự án có NPV dương thì sẽ tạo ra giá trị cho doanh nghiệp.
nominal group technique;;;Đây là kỹ thuật thường dùng (không phải luôn luôn) trong các cuộc họp brainstorming , nó xếp loại các ý tưởng tạo ra trong quá trình brainstorming.
payback period;;thời gian hoàn vốn;một mô hình đánh giá dự án dựa trên cơ sở thời gian để thu hồi số vốn đầu tư ban đầu. dự án có thời gian hoàn vốn ngắn thì được ưa thích hơn mặc dù mô hình có nhược điểm là không tính đến dòng ngân quỹ phát sinh sau thời điểm hoàn vốn và không tính đến giá trị thời gian của tiền tệ.
performance;;thành quả;các kết quả đã thực hiện được, tiến độ thực hiện được.
performance measurement;;đo lường thành quả;các công cụ, các biện pháp và quy trình đo lường để đánh giá việc thực hiện dự án.
Performance reporting;;báo cáo thực hiện;là tiến trình thu thập thông tin liên quan đến tiến triển của dự án và việc hoàn thành dự án, sau đó báo cáo các thông tin này đến các nhóm hữu quan.
Performance review;;xem xét thành quả;việc thu thập và báo cáo về tình hình và tiến triển của dự án cho nhóm hữu quan. các báo cáo này bao gồm báo cáo thực trạng, báo cáo tiến độ và dự báo. xem xét thành quả là một công cụ của tiến trình báo cáo thực hiện
PERT;;;program eveluation and review technique – kỹ thuật thẩm định và đánh giá theo chương trình là một kỹ thuật lập kế hoạch tiến độ trong điều kiển rủi ro, cho phép tính đến xác xuất xảy ra của các công việc với 3 giá trị : lạc quan, bi quan và dễ xảy ra nhất.
Preassignment;;phân công trước;là công cụ trong tiến trình “thu nhận nhân viên” trong đó một kế hoạch dự án được đưa ra để đấu thầu song các nhân viên đã được phân công trước như một phần không thể tách dời của dự án.
Precedence relationship;;;tương tự logical relationship
Prevention;;ngăn ngừa/phòng ngừa;ngăn ngừa các lỗi xảy ra trong một tiến trình. Đây là mối quan tâm cơ bản của quản trị chất lượng trong dự án.
Prevention cost;;chi phí ngăn ngừa;là các chi phí gắn với việc thoả mãn nhu cầu của khách hàng bằng cách sản xuất ra sản phẩm không sai hỏng
Probability;;;xác xuất – khả năng xảy ra của một sự kiện nào đó.
Process;;;Tiến trình – làm một tập hợp các bước công việc  được thực hiện theo một trình tự để đạt được mục tiêu xác định
Procurement;;;mua sắm/mua hàng cho dự án – là tiến trình mua hàng hàng, dịch vụ từ bên ngoài nhằm phục vụ cho dự án.
Procurement documents;;;tài liệu mua sắm – các tài liệu nhằm mời gọi các nhà cung cấp dự thầu về một sản phẩm hay dịch vụ nào đó. các tài liệu này bao gồm mời đề xuất (RFP), mời cung cấp thông tin (RFI), mời dự thầu (IFB), mời chào giá (RFQ).
Procurement management plan;;;kế hoạch quản trị mua sắm – tài liệu mô tả cách thức quản trị tiến trình mua sắm trong đó chỉ rõ loại hợp đồng sẽ sử dụng, quyền hạn của nhóm dự án, cách thức tiến trình mua sắm được tích hợp với các tiến trình quản trị khác.
Product analysis;;;phân tích sản phẩm – mô tả về sản phẩm của dự án nhờ một số công cụ như phân tích giá trị, phân tích chức năng, triển khai chức năng chất lượng, phân tích chia nhỏ sản phẩm…
Procduct scope;;;phạm vi sản phẩm – bản mô tả các thuộc tính của sản phẩm, được văn bản hoá chính thức.
Product verification;;;kiểm tra sản phẩm – bước trong tiến trình kết thúc hợp đồng nhằm xác định liệu công việc mô tả trong hợp đồng có được hoàn thành một cách chính xác và đúng theo yêu cầu hay không.
Program;;;là một nhóm các dự án được phối hợp với nhau, có liên quan với nhau.
Progressive elaboration;;;xác định dần dần – là một thuộc tính của dự án, có nghĩa là các tính chất, đặc điểm của sản phẩm dự án được làm sáng tỏ và tinh gọn dần dần.
Project charter;;;hiến chương dự án – là tài liệu thường do nhà tài trợ phê chuẩn nhằm chính thức công bố sự ra đời của dự án và là cơ sở để huy động nguồn lực cho dự án.
Project communication managment;;;quản trị truyền thông trong dự án – là một trong những lĩnh vực kiến thức  của PMBoK guide để đảm bao sao cho có sự truyền thông phù hợp, kịp thời đến các nhóm hữu quan trong dự án.
Project cost management;;;quản trị chi phí trong dự án – là một trong những lĩnh vực kiến thức của PMBoK guide liên quan đến hoạch định chi phí, lập ngân sách và kiểm soát chi phí.
Project humanresource management;;;quản trị nguồn nhân lực trong dự án – là một trong những lĩnh vực kiến thức của PMBoK guide nhằm đảm bảo việc sử dụng hiệu quả nguồn nhân lực trong dự án, gồm có: hoạch định tổ chức, thu nhận nhân viên và phát triển nhóm.
Project intergration management;;;quaản trị dự án tích hợp – là một lĩnh vực kiến thức của PMBoK guide nhằm phối hợp tất cả các phương diện của dự án.
Project life cycle;;;Vòng đời dự án – là tập hợp tất cả các giai đoạn từ khi bắt đầu đến khi kết thúc dự án.
Project management;;;quản trị dự án – là các tiến trình được sử dụng để khởi sự, lập kế hoạch, thực thi, kiểm soát và kết thúc dự án bằng cách áp dụng các kỹ năng, kiến thức, các công cụ và kỹ thuật quản trị dự án để đạt các mục tiêu đề ra.
