en_term;en_desc;vi_term;vi_desc
Geo Targeting/Geographic;;;Là hình thức quảng cáo dựa vào thuộc tính vị trí của khách hàng. Quảng cáo sẽ xuất hiện tương thích với vị trí địa lý của khách hàng. Hình thức này hiện chưa phổ biến ở Việt Nam do việc xác định vị trí dựa theo IP giữa các địa phương tại Việt Nam chưa rõ ràng

Forum seeding là gì;;;Forum seeding/Nick seeding/Online seeding là hình thức truyền thông trên các diễn đàn, forum nhằm mục đích quảng bá sản phẩm/dịch vụ bằng cách đưa các topic/comment một cách trực tiếp hoặc gián tiếp, lôi kéo thành viên vào bình luận, đánh giá về sản phẩm hoặc dịch vụ.

Hybrid Pricing Model;;;Là một mô hình tính giá trong Online Marketing kết hợp giữa CPC và CPA (hoặc đôi khi kết hợp giữa CPC, CPA, CPM).

Impression là gì;;;Impression là thuật ngữ chỉ số lần xuất hiện của quảng cáo, đôi khi chỉ số này không phản ánh chính xác thực tế vì có thể quảng cáo xuất hiện ở cuối trang nhưng người dùng không kéo xuống tới quảng cáo đó vẫn có thể được tính là 1 impression.

Keyword;;Từ khoá;Khi bạn tìm bất cứ những thông tin nào bạn muốn hãy đánh vào công cụ tìm kiếm và sử dụng những từ khóa. Ví dụ bạn có thể dùng từ khóa “vietnam”, “vietnamese” hay “vietnam informations” để tìm kiếm thông tin về Việt Nam trên mạng Internet.

KPI – Key Performance Indicator;;;Là các chỉ số để đánh giá hiệu quả của một chiến dịch quảng cáo. Thankiu sẽ có một bài viết chi tiết về các KPI sử dụng trong online marketing.

Landing Page là gì;;;Landing Page là một trang web (khác với 1 website) được tao ra nhằm mục đích thu hút người truy cập trong chiến dịch quảng cáo, Landing Page có mục tiêu là chuyển đổi từ khách truy cập trở thành khách hàng thông qua Form đăng ký, Form liên hệ…, Ngoài ra Landing Page còn là thuật ngữ dùng chỉ trang đích của một chiến dịch SEO, hay quảng cáo Adwords, Quảng cáo banner…


Meta “Description” Tag;;Thẻ Meta “Description”;"Công cụ tìm kiếm cho phép bạn ở bất kỳ đây cũng có thể sử dụng từ 135 đến 395 ký tự trong thẻ Meta “Description”. Bởi vì ở đây chính là cái sẽ hiển thị site của bạn cho tất cả những người truy cập công cụ tìm kiếm và đảm bảo rằng 135 ký tự đầu sẽ hiển thị chính xác website của bạn.
Meta “keywords” Tag: Thẻ Meta “từ khoá”

Đây chính là nơi chính xác cho các từ khoá. Danh sách từ khoá của bạn cần ngắn gọn, sử dụng cả từ đơn và cụm từ. Phần lớn những người truy cập công cụ tìm kiếm đôi khi gõ từ khoá sai và vì thế bạn cần có danh sách các từ khoá đánh sai.
"
Meta Tag;;Thẻ Meta;Meta Tag cung cấp các từ khoá và những thông tin cụ thể. Những người truy cập trang web sẽ không nhìn thấy thông tin này nếu như họ không xem mã nguồn.

Newbie là gì;;;Newbie là thuật ngữ có nghĩa là Người mới – Thuật ngữ này thường áp dụng cho những người chưa biết sử dụng máy tính và Internet hoặc mới tham gia vào một lĩnh vực nào đó liên quan tới internet. Bạn đang mày mò tìm hiểu về Google Adsense? Bạn là một newbie về Adsense, hay bạn là một người đang tập chăn gà.

Online Marketing;;;Online Marketing là hình thức marketing dựa trên các công cụ của internet. Online Marketing bao gồm nhiều công cụ/hình thức như: Display Advertising, SEM – Search Engine Marketing, Email Marketing, Social Marketing… Tìm hiểu thêm về xây dựng chiến lược online marketing

Organic Search Result là gì;;;Organic Search Result là kết quả tìm kiếm tự nhiên trong trang kết quả tìm kiếm của các công cụ tìm kiếm. Ngoài Organic Search Result trang kết quả tìm kiếm còn có Paid Search Result.

Pageviews;;Số trang web được mở;Chỉ số này tác động đến thu nhập của publisher khi tham gia vào các mạng quảng cáo. Pageviews càng cao càng mang lại nhiều Impression và Click và giúp làm tăng thu nhập. Pageviews của website còn thể hiện độ lớn của website đó.

Paid Listing;;;Thuật ngữ này thể hiện việc phải trả tiền để được xuất hiện trên 1 website, đó có thể là trang kết quả tìm kiếm của các Search Engine hay một trang web danh bạ nào đó.

PPC – Pay Per Click;;;Tham khảo CPC

PPL – Pay Per Lead, PPS – Pay Per Sale;;;tham khảo CPA

Payment Threshold là gì;;;Payment Threshold là mức thu nhập tối thiểu để yêu cầu thanh toán. Là mức thu nhập tối thiểu mà bạn phải đặt được trước khi muốn yêu cầu thanh toán từ các mạng Affiliate. Ví dụ, với Google Adsense mức tối thiểu là 100 USD, Chitika và Infolinks mức tối thiểu là 50 USD. Mức Payment Threshold còn phụ thuộc vào hình thức thanh toán (Payment Method) mà bạn lựa chọn. Ví dụ thanh toán qua Western Union, Paypal hay Check…

Pop Up Ad;;;Là hình thức quảng cáo hiển thị trong một cửa sổ mới khi bạn ghé thăm một website nào đó. Hình thức này dễ gây phản cảm và không được người dùng hưởng ứng.

Pop Under Ad;;;Là hình thức quảng cáo hiển thị trong một cửa sổ mới phía dưới cửa sổ hiện tại. Hình thức này cũng không còn được áp dụng phổ biến.

Publisher;;;Thuật ngữ nói đến những nhà xuất bản website, những người sở hữu website/ hoặc chính 1 website nào đó. Publisher tham gia đặt các quảng cáo cho các Advertiser và có được thu nhập. Thankiu.com cũng là 1 publisher, tại Việt Nam có nhiều publiser lớn như: Vnexpress, 24h.com.vn, Dantri, Ngoisao.net, Zing…

ROI – Return on Investment;;;Hiệu quả trên ngân sách đầu tư. Chỉ số này thường kết hợp với CPA để biết được để có một khách hàng doanh nghiệp phải tốn bao nhiêu chi phí, và sau cả chiến dịch với 1 khoản ngân sách nhất định thì doanh nghiệp thu lại được hiệu quả gì?

Search Engine Marketing;;;Marketing qua công cụ tìm kiếm, bao gồm Google Adwords và SEO

SEO - Search engine optimization;;;Tối ưu hoá (cho) động cơ tìm kiếm. Tập hợp các phương pháp làm tăng tính thân thiện của Website đối với động cơ tìm kiếm với mục đích nâng thứ hạng của Website trong trang kết quả tìm kiếm theo một nhóm từ khoá mục tiêu nào đó.

SERP là gì?;;;Search Engine Result Page: SERP là trang kết quả tìm kiếm được hiển thị sau khi người dùng thực hiện một thao tác tìm kiếm.

Sitemap;;Bản đồ/sơ đồ website;"Có hai loại Sitemap: 1. Sitemap dành cho Search Engine thường có định dạng sitemap.xml, giúp các Search Engine dễ dàng craw thông tin trên website;

2. Sitemap dành cho người dùng giúp người dùng dễ dàng theo dõi và tìm hiểu website.
Social Media / Social Marketing là gì:  Social Media hay Social Marketing là hình thức marketing thông qua các mạng xã hội, ứng dụng mạng xã hội vào việc làm marketing.
"

Social Networks là gì;;;"Social networks là tên gọi chung cho các mạng xã hội. Social Networks có thể được chia thành nhiều nhóm lĩnh vực:
1.    Mạng chia sẻ video: Youtube, Vimeo, Daily Motion, Clip.vn…;
2.    Mạng chia sẻ hình ảnh: Flick, Picasa, Photobucket, Upanh.com, Anhso.net…
3.    Mạng chia sẻ âm nhạc: Zing Mp3, Nhaccuatui, Yahoo Music, Nhacso.net, Nghenhac.info…
4.    Mạng kết bạn: Facebook, ZingMe, Go.vn, Linkedin, Myspace, Google+, Truongxua.vn
5.    Mạng cập nhật tin tức: Twitter
6.    Các diễn dàn/Forum: Danh sách diễn đàn ở VN và nước ngoài có rất nhiều và phổ biến
7.    Mạng hỏi đáp: Yahoo Hỏi đáp, Vật Giá hỏi đáp, Google hỏi đáp…
8.    Mạng chia sẻ kiến thức, tài liệu: Tailieu.vn, Slideshare.net, Docstoc.com…
9.    Và còn rất nhiều trang web khác cũng được xếp vào là Social Networks
"
SSL – Secure Socket Layer;;Lớp bảo mật SSL;Với cơ chế này, khách hàng của bạn khi trao cho bạn các số thẻ tín dụng sẽ tin tưởng rằng các thông tin cá nhân bao gồm cả số thẻ tín dụng sẽ không bị đánh cắp qua Internet.

Skycraper;;;Một kích thước quảng cáo phổ biến và được IAB khuyến khích sử dụng, kích thước 160x600px hoặc 120x600px

Unique Visitor là gì;;;Unique Visitor là chỉ số thể hiện số người truy cập duy nhất/không bị trùng lặp vào 1 website nào đó trong 1 khoảng thời gian. Ví dụ, trong 1 ngày bạn và xem website 2 lần, mở tổng cộng 6 trang thì sẽ được tính là: 1 visitor, 2 visits, 6 pageviews.

Usability;;;Thuật ngữ online marketing này thể hiện sự tiện dụng, tính dễ sử dụng của website đối với người dùng.

Visit;;Số lượt ghé thăm website;Xem ví dụ trong phần Unique Visitor

Visitor;;Số người ghé thăm website;Xem ví dụ trong phần Unique Visitor

CCU (Concurrent Users);;;"Ngoài ra, nghiên cứu lựa chọn thời điểm có lượng CCU cao nhất sẽ giúp bạn lựa chọn điểm rơi cho chiến dịch tốt hơn. Chẳng hạn có 1 nghiên cứu chỉ ra rằng lúc **2Oh là thời điểm số lượng người online trên Facebook nhiều nhất, như vậy lúc này bạn shoot thông điệp quảng cáo của mình trên Fan page thì sẽ tiếp được nhiều người nhất**, còn vào những lúc không phải cao điểm thì thông điệp của bạn rất dễ bị đè dưới news feed của những friend và page khác khi người dùng check Facebook.

Số lượng CCU trong một thời điểm có liên quan đến độ tuổi, công việc, sở thích của đối tượng. Chẳng hạn, ở một trang tin điện tử dành cho tuổi teen, thời điểm có CCU cao nhất là vào lúc 9h sáng và 15h chiều, vào buổi tối thì có vẻ ít hơn 2 thời điểm này, người viết đoán là do học sinh cấp 3 lúc này đang học bài hoặc đi học thêm. Ngược lại một trang web dành cho dân công nghệ thì thời điểm có CCU cao nhất là buổi tối trong khi trang web dành cho dân công sở thì thời điểm có CCU cao nhất là trong giờ hành chánh còn 2 ngày cuối tuần traffic xuống khá thấp.

>Thật sự là qua bài của chị em mới biết được thuật ngữ CCU nhưng mà trước giờ vẫn đang áp dụng CCU: Canh CCU để “tung chưởng” trên news feed, noftification facebook, canh CCU để tung chưởng lúc họ đang truy cập e-mail (Vào đầu mỗi sáng sớm trong tuần), SMS (lúc họ đang rãnh tay, đầu óc không bị công việc làm xao lãng) ….với mục đích cuối cùng là để làm sao Kh nhận được thông tin và tiếp nhận thông tin một cách tự nhiên và “dễ nuốt” nhất. Còn forums thì hoàn toàn đồng ý với chị …quá khó để xác thực nếu không phải của mình.
"
